n,Min Sum,Partitions
29,119,"[[8, 6, 5, 4, 3, 2, 1], [7, 7, 5, 4, 3, 2, 1], [7, 6, 6, 4, 3, 2, 1], [7, 6, 5, 5, 3, 2, 1], [7, 6, 5, 4, 4, 2, 1], [7, 6, 5, 4, 3, 3, 1], [7, 6, 5, 4, 3, 2, 2], [7, 6, 5, 4, 3, 2, 1, 1]]"
30,126,"[[8, 7, 5, 4, 3, 2, 1], [8, 6, 6, 4, 3, 2, 1], [8, 6, 5, 5, 3, 2, 1], [8, 6, 5, 4, 4, 2, 1], [8, 6, 5, 4, 3, 3, 1], [8, 6, 5, 4, 3, 2, 2], [8, 6, 5, 4, 3, 2, 1, 1], [7, 7, 6, 4, 3, 2, 1], [7, 7, 5, 5, 3, 2, 1], [7, 7, 5, 4, 4, 2, 1], [7, 7, 5, 4, 3, 3, 1], [7, 7, 5, 4, 3, 2, 2], [7, 7, 5, 4, 3, 2, 1, 1], [7, 6, 6, 5, 3, 2, 1], [7, 6, 6, 4, 4, 2, 1], [7, 6, 6, 4, 3, 3, 1], [7, 6, 6, 4, 3, 2, 2], [7, 6, 6, 4, 3, 2, 1, 1], [7, 6, 5, 5, 4, 2, 1], [7, 6, 5, 5, 3, 3, 1], [7, 6, 5, 5, 3, 2, 2], [7, 6, 5, 5, 3, 2, 1, 1], [7, 6, 5, 4, 4, 3, 1], [7, 6, 5, 4, 4, 2, 2], [7, 6, 5, 4, 4, 2, 1, 1], [7, 6, 5, 4, 3, 3, 2], [7, 6, 5, 4, 3, 3, 1, 1], [7, 6, 5, 4, 3, 2, 2, 1]]"
31,133,"[[8, 7, 6, 4, 3, 2, 1], [8, 7, 5, 5, 3, 2, 1], [8, 7, 5, 4, 4, 2, 1], [8, 7, 5, 4, 3, 3, 1], [8, 7, 5, 4, 3, 2, 2], [8, 7, 5, 4, 3, 2, 1, 1], [8, 6, 6, 5, 3, 2, 1], [8, 6, 6, 4, 4, 2, 1], [8, 6, 6, 4, 3, 3, 1], [8, 6, 6, 4, 3, 2, 2], [8, 6, 6, 4, 3, 2, 1, 1], [8, 6, 5, 5, 4, 2, 1], [8, 6, 5, 5, 3, 3, 1], [8, 6, 5, 5, 3, 2, 2], [8, 6, 5, 5, 3, 2, 1, 1], [8, 6, 5, 4, 4, 3, 1], [8, 6, 5, 4, 4, 2, 2], [8, 6, 5, 4, 4, 2, 1, 1], [8, 6, 5, 4, 3, 3, 2], [8, 6, 5, 4, 3, 3, 1, 1], [8, 6, 5, 4, 3, 2, 2, 1], [7, 7, 6, 5, 3, 2, 1], [7, 7, 6, 4, 4, 2, 1], [7, 7, 6, 4, 3, 3, 1], [7, 7, 6, 4, 3, 2, 2], [7, 7, 6, 4, 3, 2, 1, 1], [7, 7, 5, 5, 4, 2, 1], [7, 7, 5, 5, 3, 3, 1], [7, 7, 5, 5, 3, 2, 2], [7, 7, 5, 5, 3, 2, 1, 1], [7, 7, 5, 4, 4, 3, 1], [7, 7, 5, 4, 4, 2, 2], [7, 7, 5, 4, 4, 2, 1, 1], [7, 7, 5, 4, 3, 3, 2], [7, 7, 5, 4, 3, 3, 1, 1], [7, 7, 5, 4, 3, 2, 2, 1], [7, 6, 6, 5, 4, 2, 1], [7, 6, 6, 5, 3, 3, 1], [7, 6, 6, 5, 3, 2, 2], [7, 6, 6, 5, 3, 2, 1, 1], [7, 6, 6, 4, 4, 3, 1], [7, 6, 6, 4, 4, 2, 2], [7, 6, 6, 4, 4, 2, 1, 1], [7, 6, 6, 4, 3, 3, 2], [7, 6, 6, 4, 3, 3, 1, 1], [7, 6, 6, 4, 3, 2, 2, 1], [7, 6, 5, 5, 4, 3, 1], [7, 6, 5, 5, 4, 2, 2], [7, 6, 5, 5, 4, 2, 1, 1], [7, 6, 5, 5, 3, 3, 2], [7, 6, 5, 5, 3, 3, 1, 1], [7, 6, 5, 5, 3, 2, 2, 1], [7, 6, 5, 4, 4, 3, 2], [7, 6, 5, 4, 4, 3, 1, 1], [7, 6, 5, 4, 4, 2, 2, 1], [7, 6, 5, 4, 3, 3, 2, 1]]"
32,140,"[[8, 7, 6, 5, 3, 2, 1], [8, 7, 6, 4, 4, 2, 1], [8, 7, 6, 4, 3, 3, 1], [8, 7, 6, 4, 3, 2, 2], [8, 7, 6, 4, 3, 2, 1, 1], [8, 7, 5, 5, 4, 2, 1], [8, 7, 5, 5, 3, 3, 1], [8, 7, 5, 5, 3, 2, 2], [8, 7, 5, 5, 3, 2, 1, 1], [8, 7, 5, 4, 4, 3, 1], [8, 7, 5, 4, 4, 2, 2], [8, 7, 5, 4, 4, 2, 1, 1], [8, 7, 5, 4, 3, 3, 2], [8, 7, 5, 4, 3, 3, 1, 1], [8, 7, 5, 4, 3, 2, 2, 1], [8, 6, 6, 5, 4, 2, 1], [8, 6, 6, 5, 3, 3, 1], [8, 6, 6, 5, 3, 2, 2], [8, 6, 6, 5, 3, 2, 1, 1], [8, 6, 6, 4, 4, 3, 1], [8, 6, 6, 4, 4, 2, 2], [8, 6, 6, 4, 4, 2, 1, 1], [8, 6, 6, 4, 3, 3, 2], [8, 6, 6, 4, 3, 3, 1, 1], [8, 6, 6, 4, 3, 2, 2, 1], [8, 6, 5, 5, 4, 3, 1], [8, 6, 5, 5, 4, 2, 2], [8, 6, 5, 5, 4, 2, 1, 1], [8, 6, 5, 5, 3, 3, 2], [8, 6, 5, 5, 3, 3, 1, 1], [8, 6, 5, 5, 3, 2, 2, 1], [8, 6, 5, 4, 4, 3, 2], [8, 6, 5, 4, 4, 3, 1, 1], [8, 6, 5, 4, 4, 2, 2, 1], [8, 6, 5, 4, 3, 3, 2, 1], [7, 7, 6, 5, 4, 2, 1], [7, 7, 6, 5, 3, 3, 1], [7, 7, 6, 5, 3, 2, 2], [7, 7, 6, 5, 3, 2, 1, 1], [7, 7, 6, 4, 4, 3, 1], [7, 7, 6, 4, 4, 2, 2], [7, 7, 6, 4, 4, 2, 1, 1], [7, 7, 6, 4, 3, 3, 2], [7, 7, 6, 4, 3, 3, 1, 1], [7, 7, 6, 4, 3, 2, 2, 1], [7, 7, 5, 5, 4, 3, 1], [7, 7, 5, 5, 4, 2, 2], [7, 7, 5, 5, 4, 2, 1, 1], [7, 7, 5, 5, 3, 3, 2], [7, 7, 5, 5, 3, 3, 1, 1], [7, 7, 5, 5, 3, 2, 2, 1], [7, 7, 5, 4, 4, 3, 2], [7, 7, 5, 4, 4, 3, 1, 1], [7, 7, 5, 4, 4, 2, 2, 1], [7, 7, 5, 4, 3, 3, 2, 1], [7, 6, 6, 5, 4, 3, 1], [7, 6, 6, 5, 4, 2, 2], [7, 6, 6, 5, 4, 2, 1, 1], [7, 6, 6, 5, 3, 3, 2], [7, 6, 6, 5, 3, 3, 1, 1], [7, 6, 6, 5, 3, 2, 2, 1], [7, 6, 6, 4, 4, 3, 2], [7, 6, 6, 4, 4, 3, 1, 1], [7, 6, 6, 4, 4, 2, 2, 1], [7, 6, 6, 4, 3, 3, 2, 1], [7, 6, 5, 5, 4, 3, 2], [7, 6, 5, 5, 4, 3, 1, 1], [7, 6, 5, 5, 4, 2, 2, 1], [7, 6, 5, 5, 3, 3, 2, 1], [7, 6, 5, 4, 4, 3, 2, 1]]"
33,147,"[[8, 7, 6, 5, 4, 2, 1], [8, 7, 6, 5, 3, 3, 1], [8, 7, 6, 5, 3, 2, 2], [8, 7, 6, 5, 3, 2, 1, 1], [8, 7, 6, 4, 4, 3, 1], [8, 7, 6, 4, 4, 2, 2], [8, 7, 6, 4, 4, 2, 1, 1], [8, 7, 6, 4, 3, 3, 2], [8, 7, 6, 4, 3, 3, 1, 1], [8, 7, 6, 4, 3, 2, 2, 1], [8, 7, 5, 5, 4, 3, 1], [8, 7, 5, 5, 4, 2, 2], [8, 7, 5, 5, 4, 2, 1, 1], [8, 7, 5, 5, 3, 3, 2], [8, 7, 5, 5, 3, 3, 1, 1], [8, 7, 5, 5, 3, 2, 2, 1], [8, 7, 5, 4, 4, 3, 2], [8, 7, 5, 4, 4, 3, 1, 1], [8, 7, 5, 4, 4, 2, 2, 1], [8, 7, 5, 4, 3, 3, 2, 1], [8, 6, 6, 5, 4, 3, 1], [8, 6, 6, 5, 4, 2, 2], [8, 6, 6, 5, 4, 2, 1, 1], [8, 6, 6, 5, 3, 3, 2], [8, 6, 6, 5, 3, 3, 1, 1], [8, 6, 6, 5, 3, 2, 2, 1], [8, 6, 6, 4, 4, 3, 2], [8, 6, 6, 4, 4, 3, 1, 1], [8, 6, 6, 4, 4, 2, 2, 1], [8, 6, 6, 4, 3, 3, 2, 1], [8, 6, 5, 5, 4, 3, 2], [8, 6, 5, 5, 4, 3, 1, 1], [8, 6, 5, 5, 4, 2, 2, 1], [8, 6, 5, 5, 3, 3, 2, 1], [8, 6, 5, 4, 4, 3, 2, 1], [7, 7, 6, 5, 4, 3, 1], [7, 7, 6, 5, 4, 2, 2], [7, 7, 6, 5, 4, 2, 1, 1], [7, 7, 6, 5, 3, 3, 2], [7, 7, 6, 5, 3, 3, 1, 1], [7, 7, 6, 5, 3, 2, 2, 1], [7, 7, 6, 4, 4, 3, 2], [7, 7, 6, 4, 4, 3, 1, 1], [7, 7, 6, 4, 4, 2, 2, 1], [7, 7, 6, 4, 3, 3, 2, 1], [7, 7, 5, 5, 4, 3, 2], [7, 7, 5, 5, 4, 3, 1, 1], [7, 7, 5, 5, 4, 2, 2, 1], [7, 7, 5, 5, 3, 3, 2, 1], [7, 7, 5, 4, 4, 3, 2, 1], [7, 6, 6, 5, 4, 3, 2], [7, 6, 6, 5, 4, 3, 1, 1], [7, 6, 6, 5, 4, 2, 2, 1], [7, 6, 6, 5, 3, 3, 2, 1], [7, 6, 6, 4, 4, 3, 2, 1], [7, 6, 5, 5, 4, 3, 2, 1]]"
34,154,"[[8, 7, 6, 5, 4, 3, 1], [8, 7, 6, 5, 4, 2, 2], [8, 7, 6, 5, 4, 2, 1, 1], [8, 7, 6, 5, 3, 3, 2], [8, 7, 6, 5, 3, 3, 1, 1], [8, 7, 6, 5, 3, 2, 2, 1], [8, 7, 6, 4, 4, 3, 2], [8, 7, 6, 4, 4, 3, 1, 1], [8, 7, 6, 4, 4, 2, 2, 1], [8, 7, 6, 4, 3, 3, 2, 1], [8, 7, 5, 5, 4, 3, 2], [8, 7, 5, 5, 4, 3, 1, 1], [8, 7, 5, 5, 4, 2, 2, 1], [8, 7, 5, 5, 3, 3, 2, 1], [8, 7, 5, 4, 4, 3, 2, 1], [8, 6, 6, 5, 4, 3, 2], [8, 6, 6, 5, 4, 3, 1, 1], [8, 6, 6, 5, 4, 2, 2, 1], [8, 6, 6, 5, 3, 3, 2, 1], [8, 6, 6, 4, 4, 3, 2, 1], [8, 6, 5, 5, 4, 3, 2, 1], [7, 7, 6, 5, 4, 3, 2], [7, 7, 6, 5, 4, 3, 1, 1], [7, 7, 6, 5, 4, 2, 2, 1], [7, 7, 6, 5, 3, 3, 2, 1], [7, 7, 6, 4, 4, 3, 2, 1], [7, 7, 5, 5, 4, 3, 2, 1], [7, 6, 6, 5, 4, 3, 2, 1]]"
35,161,"[[8, 7, 6, 5, 4, 3, 2], [8, 7, 6, 5, 4, 3, 1, 1], [8, 7, 6, 5, 4, 2, 2, 1], [8, 7, 6, 5, 3, 3, 2, 1], [8, 7, 6, 4, 4, 3, 2, 1], [8, 7, 5, 5, 4, 3, 2, 1], [8, 6, 6, 5, 4, 3, 2, 1], [7, 7, 6, 5, 4, 3, 2, 1]]"
36,168,"[[8, 7, 6, 5, 4, 3, 2, 1]]"
37,176,"[[9, 7, 6, 5, 4, 3, 2, 1], [8, 8, 6, 5, 4, 3, 2, 1], [8, 7, 7, 5, 4, 3, 2, 1], [8, 7, 6, 6, 4, 3, 2, 1], [8, 7, 6, 5, 5, 3, 2, 1], [8, 7, 6, 5, 4, 4, 2, 1], [8, 7, 6, 5, 4, 3, 3, 1], [8, 7, 6, 5, 4, 3, 2, 2], [8, 7, 6, 5, 4, 3, 2, 1, 1]]"
38,184,"[[9, 8, 6, 5, 4, 3, 2, 1], [9, 7, 7, 5, 4, 3, 2, 1], [9, 7, 6, 6, 4, 3, 2, 1], [9, 7, 6, 5, 5, 3, 2, 1], [9, 7, 6, 5, 4, 4, 2, 1], [9, 7, 6, 5, 4, 3, 3, 1], [9, 7, 6, 5, 4, 3, 2, 2], [9, 7, 6, 5, 4, 3, 2, 1, 1], [8, 8, 7, 5, 4, 3, 2, 1], [8, 8, 6, 6, 4, 3, 2, 1], [8, 8, 6, 5, 5, 3, 2, 1], [8, 8, 6, 5, 4, 4, 2, 1], [8, 8, 6, 5, 4, 3, 3, 1], [8, 8, 6, 5, 4, 3, 2, 2], [8, 8, 6, 5, 4, 3, 2, 1, 1], [8, 7, 7, 6, 4, 3, 2, 1], [8, 7, 7, 5, 5, 3, 2, 1], [8, 7, 7, 5, 4, 4, 2, 1], [8, 7, 7, 5, 4, 3, 3, 1], [8, 7, 7, 5, 4, 3, 2, 2], [8, 7, 7, 5, 4, 3, 2, 1, 1], [8, 7, 6, 6, 5, 3, 2, 1], [8, 7, 6, 6, 4, 4, 2, 1], [8, 7, 6, 6, 4, 3, 3, 1], [8, 7, 6, 6, 4, 3, 2, 2], [8, 7, 6, 6, 4, 3, 2, 1, 1], [8, 7, 6, 5, 5, 4, 2, 1], [8, 7, 6, 5, 5, 3, 3, 1], [8, 7, 6, 5, 5, 3, 2, 2], [8, 7, 6, 5, 5, 3, 2, 1, 1], [8, 7, 6, 5, 4, 4, 3, 1], [8, 7, 6, 5, 4, 4, 2, 2], [8, 7, 6, 5, 4, 4, 2, 1, 1], [8, 7, 6, 5, 4, 3, 3, 2], [8, 7, 6, 5, 4, 3, 3, 1, 1], [8, 7, 6, 5, 4, 3, 2, 2, 1]]"
